metric_desc,metric_val_30,metric_val_25,metric_val_20,metric_val_15,metric_val_10,metric_val_5,metric_val_0
complained:leadsreportemailemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:messagealertemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:dailydigestemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100
complained:exhibitoropportunityemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:passwordresetemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:sessionnotealertemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:welcomeemail:Expo,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0100
complained:setupleadscanningcalltoactionemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:beaconmessageinfoemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:beaconmessageinfoemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:sessionnotealertemail:Conference,,,,,0.0000,0.0000,0.0000
complained:messagealertemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:passwordresetemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:sessionnotealertemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:welcomeemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:exhibitoropportunityemail:Corporate Internal,,,0.0000,0.0000,0.0000,0.0000,0.0000
complained:dailydigestemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:unknownemail:Expo,,,0.0000,0.0000,0.0000,0.0000,0.0000
complained:messagealertemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:dailydigestemail:Unknown,0.0200,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000
complained:exhibitoropportunityemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:leadsreportemailemail:Corporate External,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:beaconmessageinfoemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:passwordresetemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:sessionnotealertemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:welcomeemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:setupleadscanningcalltoactionemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:exhibitoropportunityemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:messagealertemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:dailydigestemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:passwordresetemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:beaconmessageinfoemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:welcomeemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:setupleadscanningcalltoactionemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:sessionnotealertemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:welcomeemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:setupleadscanningcalltoactionemail:Corporate Internal,,,,,0.0000,0.0000,0.0000
complained:passwordresetemail:Corporate Internal,0.0000,0.0000,0.0200,0.0100,0.0100,0.0100,0.0100
complained:dailydigestemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100
complained:leadsreportemailemail:Expo,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:sessionnotealertemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:beaconmessageinfoemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:messagealertemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:leadsreportemailemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
