metric_date,2015-05-02,2015-05-07,2015-05-12,2015-05-17,2015-05-22,2015-05-27,2015-06-01
Conference,93.0700,94.0700,94.4600,94.6000,95.1700,95.2800,95.3100
Expo,96.1600,96.4200,96.2100,96.4400,96.6700,96.7500,95.1100
Corporate External,94.1100,95.0000,95.3500,95.9100,96.1100,96.1700,96.1800
Unknown,98.3500,98.2800,98.4500,98.1000,53.1500,35.4400,33.9800
No Event Type,98.4100,98.1400,97.6800,97.6200,97.6000,97.5900,97.5900
Corporate Internal,98.3600,97.4400,96.4500,95.7400,96.3800,96.3700,96.4800
