metric_date,2015-05-02,2015-05-07,2015-05-12,2015-05-17,2015-05-22,2015-05-27,2015-06-01
Conference,94.8100,95.7000,95.8300,95.9700,96.1000,96.1000,96.1100
Expo,95.1000,96.8600,96.8000,96.8600,96.8200,96.9200,96.9700
Corporate External,97.4100,97.2000,97.0600,97.0900,97.1600,97.2900,97.2400
Unknown,97.6800,97.7600,97.7500,97.7500,97.5600,97.5500,98.4000
No Event Type,97.5600,97.5500,96.6400,96.6000,96.7800,96.7500,96.7500
Corporate Internal,98.6500,98.6800,98.3800,98.2100,98.2100,98.2000,98.1800
