metric_date,2015-05-02,2015-05-07,2015-05-12,2015-05-17,2015-05-22,2015-05-27,2015-06-01
Conference,13.0600,11.8500,12.1400,11.8800,11.2700,11.3800,11.4500
Expo,11.2600,3.6400,4.2100,5.0100,5.4500,6.0300,7.0100
Corporate External,22.4500,18.1300,18.7400,18.0100,18.9100,18.2600,18.3100
Unknown,10.8500,21.8100,21.9300,22.2700,22.1100,22.3700,17.7400
No Event Type,20.0400,20.8000,15.9600,15.3900,15.5700,16.5100,16.7200
Corporate Internal,21.1200,23.8300,23.8900,22.8100,25.4300,25.5300,25.6600
