metric_date,2015-05-02,2015-05-07,2015-05-12,2015-05-17,2015-05-22,2015-05-27,2015-06-01
Conference,0.0000,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100
Expo,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0100
Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
